cycle_id,process_step,start_time,end_time,duration_minutes
1,Assembly,2023-01-01 08:51:00,2023-01-01 09:09:00,18.0
1,Quality Check,2023-01-01 09:09:00,2023-01-01 09:36:00,27.0
1,Packaging,2023-01-01 09:36:00,2023-01-01 10:01:00,25.0
1,Dispatch,2023-01-01 10:01:00,2023-01-01 10:20:00,19.0
2,Assembly,2023-01-01 08:07:00,2023-01-01 08:34:00,27.0
2,Quality Check,2023-01-01 08:34:00,2023-01-01 08:55:00,21.0
2,Packaging,2023-01-01 08:55:00,2023-01-01 09:14:00,19.0
2,Dispatch,2023-01-01 09:14:00,2023-01-01 09:30:00,16.0
3,Assembly,2023-01-01 08:58:00,2023-01-01 09:21:00,23.0
3,Quality Check,2023-01-01 09:21:00,2023-01-01 09:38:00,17.0
3,Packaging,2023-01-01 09:38:00,2023-01-01 09:50:00,12.0
3,Dispatch,2023-01-01 09:50:00,2023-01-01 10:14:00,24.0
4,Assembly,2023-01-01 08:47:00,2023-01-01 09:10:00,23.0
4,Quality Check,2023-01-01 09:10:00,2023-01-01 09:32:00,22.0
4,Packaging,2023-01-01 09:32:00,2023-01-01 09:51:00,19.0
4,Dispatch,2023-01-01 09:51:00,2023-01-01 10:18:00,27.0
5,Assembly,2023-01-01 08:34:00,2023-01-01 08:46:00,12.0
5,Quality Check,2023-01-01 08:46:00,2023-01-01 09:03:00,17.0
5,Packaging,2023-01-01 09:03:00,2023-01-01 09:27:00,24.0
5,Dispatch,2023-01-01 09:27:00,2023-01-01 09:54:00,27.0
6,Assembly,2023-01-01 08:26:00,2023-01-01 08:38:00,12.0
6,Quality Check,2023-01-01 08:38:00,2023-01-01 08:58:00,20.0
6,Packaging,2023-01-01 08:58:00,2023-01-01 09:27:00,29.0
6,Dispatch,2023-01-01 09:27:00,2023-01-01 09:52:00,25.0
7,Assembly,2023-01-01 08:54:00,2023-01-01 09:10:00,16.0
7,Quality Check,2023-01-01 09:10:00,2023-01-01 09:21:00,11.0
7,Packaging,2023-01-01 09:21:00,2023-01-01 09:38:00,17.0
7,Dispatch,2023-01-01 09:38:00,2023-01-01 10:04:00,26.0
8,Assembly,2023-01-01 08:59:00,2023-01-01 09:12:00,13.0
8,Quality Check,2023-01-01 09:12:00,2023-01-01 09:25:00,13.0
8,Packaging,2023-01-01 09:25:00,2023-01-01 09:41:00,16.0
8,Dispatch,2023-01-01 09:41:00,2023-01-01 09:52:00,11.0
9,Assembly,2023-01-01 08:04:00,2023-01-01 08:19:00,15.0
9,Quality Check,2023-01-01 08:19:00,2023-01-01 08:30:00,11.0
9,Packaging,2023-01-01 08:30:00,2023-01-01 08:43:00,13.0
9,Dispatch,2023-01-01 08:43:00,2023-01-01 09:00:00,17.0
10,Assembly,2023-01-01 08:35:00,2023-01-01 08:47:00,12.0
10,Quality Check,2023-01-01 08:47:00,2023-01-01 09:25:00,38.0
10,Packaging,2023-01-01 09:25:00,2023-01-01 09:45:00,20.0
10,Dispatch,2023-01-01 09:45:00,2023-01-01 10:03:00,18.0
11,Assembly,2023-01-01 08:46:00,2023-01-01 09:12:00,26.0
11,Quality Check,2023-01-01 09:12:00,2023-01-01 09:38:00,26.0
11,Packaging,2023-01-01 09:38:00,2023-01-01 09:54:00,16.0
11,Dispatch,2023-01-01 09:54:00,2023-01-01 10:05:00,11.0
12,Assembly,2023-01-01 08:53:00,2023-01-01 09:09:00,16.0
12,Quality Check,2023-01-01 09:09:00,2023-01-01 09:53:00,44.0
12,Packaging,2023-01-01 09:53:00,2023-01-01 10:04:00,11.0
12,Dispatch,2023-01-01 10:04:00,2023-01-01 10:21:00,17.0
13,Assembly,2023-01-01 08:35:00,2023-01-01 08:58:00,23.0
13,Quality Check,2023-01-01 08:58:00,2023-01-01 09:15:00,17.0
13,Packaging,2023-01-01 09:15:00,2023-01-01 09:42:00,27.0
13,Dispatch,2023-01-01 09:42:00,2023-01-01 09:57:00,15.0
14,Assembly,2023-01-01 08:15:00,2023-01-01 08:42:00,27.0
14,Quality Check,2023-01-01 08:42:00,2023-01-01 09:13:00,31.0
14,Packaging,2023-01-01 09:13:00,2023-01-01 09:27:00,14.0
14,Dispatch,2023-01-01 09:27:00,2023-01-01 09:55:00,28.0
15,Assembly,2023-01-01 08:34:00,2023-01-01 08:57:00,23.0
15,Quality Check,2023-01-01 08:57:00,2023-01-01 09:25:00,28.0
15,Packaging,2023-01-01 09:25:00,2023-01-01 09:38:00,13.0
15,Dispatch,2023-01-01 09:38:00,2023-01-01 09:55:00,17.0
16,Assembly,2023-01-01 08:22:00,2023-01-01 08:47:00,25.0
16,Quality Check,2023-01-01 08:47:00,2023-01-01 09:09:00,22.0
16,Packaging,2023-01-01 09:09:00,2023-01-01 09:31:00,22.0
16,Dispatch,2023-01-01 09:31:00,2023-01-01 09:46:00,15.0
17,Assembly,2023-01-01 08:47:00,2023-01-01 09:04:00,17.0
17,Quality Check,2023-01-01 09:04:00,2023-01-01 09:28:00,24.0
17,Packaging,2023-01-01 09:28:00,2023-01-01 09:47:00,19.0
17,Dispatch,2023-01-01 09:47:00,2023-01-01 09:59:00,12.0
18,Assembly,2023-01-01 08:58:00,2023-01-01 09:11:00,13.0
18,Quality Check,2023-01-01 09:11:00,2023-01-01 09:48:00,37.0
18,Packaging,2023-01-01 09:48:00,2023-01-01 10:07:00,19.0
18,Dispatch,2023-01-01 10:07:00,2023-01-01 10:22:00,15.0
19,Assembly,2023-01-01 08:33:00,2023-01-01 08:45:00,12.0
19,Quality Check,2023-01-01 08:45:00,2023-01-01 09:08:00,23.0
19,Packaging,2023-01-01 09:08:00,2023-01-01 09:19:00,11.0
19,Dispatch,2023-01-01 09:19:00,2023-01-01 09:30:00,11.0
20,Assembly,2023-01-01 08:57:00,2023-01-01 09:21:00,24.0
20,Quality Check,2023-01-01 09:21:00,2023-01-01 09:49:00,28.0
20,Packaging,2023-01-01 09:49:00,2023-01-01 10:01:00,12.0
20,Dispatch,2023-01-01 10:01:00,2023-01-01 10:14:00,13.0
21,Assembly,2023-01-01 08:00:00,2023-01-01 08:29:00,29.0
21,Quality Check,2023-01-01 08:29:00,2023-01-01 08:43:00,14.0
21,Packaging,2023-01-01 08:43:00,2023-01-01 08:54:00,11.0
21,Dispatch,2023-01-01 08:54:00,2023-01-01 09:12:00,18.0
22,Assembly,2023-01-01 08:38:00,2023-01-01 09:03:00,25.0
22,Quality Check,2023-01-01 09:03:00,2023-01-01 09:14:00,11.0
22,Packaging,2023-01-01 09:14:00,2023-01-01 09:24:00,10.0
22,Dispatch,2023-01-01 09:24:00,2023-01-01 09:42:00,18.0
23,Assembly,2023-01-01 08:55:00,2023-01-01 09:06:00,11.0
23,Quality Check,2023-01-01 09:06:00,2023-01-01 09:16:00,10.0
23,Packaging,2023-01-01 09:16:00,2023-01-01 09:41:00,25.0
23,Dispatch,2023-01-01 09:41:00,2023-01-01 10:08:00,27.0
24,Assembly,2023-01-01 08:39:00,2023-01-01 09:01:00,22.0
24,Quality Check,2023-01-01 09:01:00,2023-01-01 09:18:00,17.0
24,Packaging,2023-01-01 09:18:00,2023-01-01 09:36:00,18.0
24,Dispatch,2023-01-01 09:36:00,2023-01-01 09:53:00,17.0
25,Assembly,2023-01-01 08:02:00,2023-01-01 08:20:00,18.0
25,Quality Check,2023-01-01 08:20:00,2023-01-01 08:31:00,11.0
25,Packaging,2023-01-01 08:31:00,2023-01-01 08:42:00,11.0
25,Dispatch,2023-01-01 08:42:00,2023-01-01 08:59:00,17.0
26,Assembly,2023-01-01 08:52:00,2023-01-01 09:19:00,27.0
26,Quality Check,2023-01-01 09:19:00,2023-01-01 09:52:00,33.0
26,Packaging,2023-01-01 09:52:00,2023-01-01 10:18:00,26.0
26,Dispatch,2023-01-01 10:18:00,2023-01-01 10:35:00,17.0
27,Assembly,2023-01-01 08:49:00,2023-01-01 09:10:00,21.0
27,Quality Check,2023-01-01 09:10:00,2023-01-01 09:38:00,28.0
27,Packaging,2023-01-01 09:38:00,2023-01-01 09:53:00,15.0
27,Dispatch,2023-01-01 09:53:00,2023-01-01 10:05:00,12.0
28,Assembly,2023-01-01 08:46:00,2023-01-01 09:02:00,16.0
28,Quality Check,2023-01-01 09:02:00,2023-01-01 09:18:00,16.0
28,Packaging,2023-01-01 09:18:00,2023-01-01 09:44:00,26.0
28,Dispatch,2023-01-01 09:44:00,2023-01-01 09:59:00,15.0
29,Assembly,2023-01-01 08:57:00,2023-01-01 09:24:00,27.0
29,Quality Check,2023-01-01 09:24:00,2023-01-01 10:00:00,36.0
29,Packaging,2023-01-01 10:00:00,2023-01-01 10:12:00,12.0
29,Dispatch,2023-01-01 10:12:00,2023-01-01 10:39:00,27.0
30,Assembly,2023-01-01 08:57:00,2023-01-01 09:20:00,23.0
30,Quality Check,2023-01-01 09:20:00,2023-01-01 09:34:00,14.0
30,Packaging,2023-01-01 09:34:00,2023-01-01 09:48:00,14.0
30,Dispatch,2023-01-01 09:48:00,2023-01-01 10:03:00,15.0
31,Assembly,2023-01-01 08:22:00,2023-01-01 08:33:00,11.0
31,Quality Check,2023-01-01 08:33:00,2023-01-01 08:57:00,24.0
31,Packaging,2023-01-01 08:57:00,2023-01-01 09:13:00,16.0
31,Dispatch,2023-01-01 09:13:00,2023-01-01 09:24:00,11.0
32,Assembly,2023-01-01 08:34:00,2023-01-01 08:56:00,22.0
32,Quality Check,2023-01-01 08:56:00,2023-01-01 09:11:00,15.0
32,Packaging,2023-01-01 09:11:00,2023-01-01 09:40:00,29.0
32,Dispatch,2023-01-01 09:40:00,2023-01-01 09:58:00,18.0
33,Assembly,2023-01-01 08:10:00,2023-01-01 08:26:00,16.0
33,Quality Check,2023-01-01 08:26:00,2023-01-01 08:40:00,14.0
33,Packaging,2023-01-01 08:40:00,2023-01-01 08:53:00,13.0
33,Dispatch,2023-01-01 08:53:00,2023-01-01 09:12:00,19.0
34,Assembly,2023-01-01 08:43:00,2023-01-01 09:01:00,18.0
34,Quality Check,2023-01-01 09:01:00,2023-01-01 09:26:00,25.0
34,Packaging,2023-01-01 09:26:00,2023-01-01 09:48:00,22.0
34,Dispatch,2023-01-01 09:48:00,2023-01-01 10:16:00,28.0
35,Assembly,2023-01-01 08:59:00,2023-01-01 09:27:00,28.0
35,Quality Check,2023-01-01 09:27:00,2023-01-01 09:51:00,24.0
35,Packaging,2023-01-01 09:51:00,2023-01-01 10:14:00,23.0
35,Dispatch,2023-01-01 10:14:00,2023-01-01 10:35:00,21.0
36,Assembly,2023-01-01 08:54:00,2023-01-01 09:08:00,14.0
36,Quality Check,2023-01-01 09:08:00,2023-01-01 09:29:00,21.0
36,Packaging,2023-01-01 09:29:00,2023-01-01 09:47:00,18.0
36,Dispatch,2023-01-01 09:47:00,2023-01-01 10:09:00,22.0
37,Assembly,2023-01-01 08:19:00,2023-01-01 08:37:00,18.0
37,Quality Check,2023-01-01 08:37:00,2023-01-01 08:47:00,10.0
37,Packaging,2023-01-01 08:47:00,2023-01-01 09:03:00,16.0
37,Dispatch,2023-01-01 09:03:00,2023-01-01 09:28:00,25.0
38,Assembly,2023-01-01 08:33:00,2023-01-01 08:50:00,17.0
38,Quality Check,2023-01-01 08:50:00,2023-01-01 09:01:00,11.0
38,Packaging,2023-01-01 09:01:00,2023-01-01 09:24:00,23.0
38,Dispatch,2023-01-01 09:24:00,2023-01-01 09:39:00,15.0
39,Assembly,2023-01-01 08:44:00,2023-01-01 09:12:00,28.0
39,Quality Check,2023-01-01 09:12:00,2023-01-01 09:26:00,14.0
39,Packaging,2023-01-01 09:26:00,2023-01-01 09:38:00,12.0
39,Dispatch,2023-01-01 09:38:00,2023-01-01 10:00:00,22.0
40,Assembly,2023-01-01 08:23:00,2023-01-01 08:35:00,12.0
40,Quality Check,2023-01-01 08:35:00,2023-01-01 08:56:00,21.0
